bins	meanCoverage	standardError	feature	Sample
38	0.149718082964156	0.00552574592921422	fiveUTRs	group1
39	0.147603705195328	0.0054804826150575	fiveUTRs	group1
40	0.146596858638743	0.00545068432558473	fiveUTRs	group1
41	0.149315344341522	0.00548642514432239	fiveUTRs	group1
42	0.149080413478319	0.00549658766853247	fiveUTRs	group1
43	0.151026983487716	0.00561163969676227	fiveUTRs	group1
44	0.152369445563163	0.00563246318168722	fiveUTRs	group1
45	0.156229024030071	0.00574488459072728	fiveUTRs	group1
46	0.158276278695127	0.00581676761293256	fiveUTRs	group1
47	0.159048194388509	0.00574071817158802	fiveUTRs	group1
48	0.158746140421533	0.00577025693511036	fiveUTRs	group1
49	0.164619412001611	0.00595834287117734	fiveUTRs	group1
50	0.164854342864814	0.00597766007086193	fiveUTRs	group1
51	0.166800912874211	0.00602446972374504	fiveUTRs	group1
52	0.167136528393073	0.00602976441191082	fiveUTRs	group1
53	0.168814605987381	0.0060541127642279	fiveUTRs	group1
54	0.170626929789233	0.00605780211335298	fiveUTRs	group1
55	0.172573499798631	0.00614109921704428	fiveUTRs	group1
56	0.1724056920392	0.00605397223567247	fiveUTRs	group1
57	0.173144046180695	0.00605345104416644	fiveUTRs	group1
58	0.170861860652437	0.00594657247648382	fiveUTRs	group1
59	0.172137199624111	0.00594552734321418	fiveUTRs	group1
60	0.175627601020271	0.00603520564050178	fiveUTRs	group1
61	0.179185125520204	0.00614015484437556	fiveUTRs	group1
62	0.179319371727749	0.00611428571898025	fiveUTRs	group1
63	0.18385018123238	0.00620988640181431	fiveUTRs	group1
64	0.185964559001208	0.00652527018608482	fiveUTRs	group1
65	0.19005906833132	0.00657891900321686	fiveUTRs	group1
66	0.187642636595516	0.00658158896065339	fiveUTRs	group1
67	0.189857699020003	0.00661990706565929	fiveUTRs	group1
68	0.187273459524768	0.00655922697775785	fiveUTRs	group1
69	0.189723452812458	0.00660845574283607	fiveUTRs	group1
70	0.192576184722782	0.00669065607534613	fiveUTRs	group1
71	0.197476171298161	0.00660603122453342	fiveUTRs	group1
72	0.197476171298161	0.00662050898241858	fiveUTRs	group1
73	0.20019465700094	0.00666196054823677	fiveUTRs	group1
74	0.201302188213183	0.00668270421707304	fiveUTRs	group1
75	0.201805611491475	0.0067009637606322	fiveUTRs	group1
76	0.202913142703719	0.00676184480511306	fiveUTRs	group1
77	0.207141898241375	0.0069571212840917	fiveUTRs	group1
78	0.206672036514968	0.00691862579265135	fiveUTRs	group1
79	0.207175459793261	0.00692780151617636	fiveUTRs	group1
80	0.205631628406498	0.00677315538823489	fiveUTRs	group1
81	0.207746006175326	0.00680459383163323	fiveUTRs	group1
82	0.206873405826285	0.00684213187566852	fiveUTRs	group1
83	0.206974090481944	0.00676762310671061	fiveUTRs	group1
84	0.202241911665995	0.00659811808530265	fiveUTRs	group1
85	0.207578198415895	0.00675100329421044	fiveUTRs	group1
86	0.206034367029131	0.00669226849817805	fiveUTRs	group1
87	0.209591891529064	0.00680658383261731	fiveUTRs	group1
88	0.21076654584508	0.00684423500206351	fiveUTRs	group1
89	0.212478184991274	0.00669964051340615	fiveUTRs	group1
90	0.212478184991274	0.00668769257651978	fiveUTRs	group1
91	0.216169955698751	0.00675463304823426	fiveUTRs	group1
92	0.215297355349711	0.00667167807571327	fiveUTRs	group1
93	0.218821318297758	0.00671320203362974	fiveUTRs	group1
94	0.220868572962814	0.0067547009705216	fiveUTRs	group1
95	0.224291851255202	0.00678171162224266	fiveUTRs	group1
96	0.225030205396698	0.0067477525456088	fiveUTRs	group1
97	0.230970600080548	0.00688493562125575	fiveUTRs	group1
98	0.23348771647201	0.00688756636055501	fiveUTRs	group1
99	0.23768291045778	0.00699741765433306	fiveUTRs	group1
100	0.212679554302591	0.00652567405114576	fiveUTRs	group1
1	0.728652176838705	0.0260736976526993	cds	group1
2	0.734102684879887	0.0265247808262467	cds	group1
3	0.760379516856201	0.0270016030395818	cds	group1
4	0.804017226297019	0.0288211197731376	cds	group1
5	0.842036202139829	0.0296096367022899	cds	group1
6	0.879853307314447	0.0306336447536472	cds	group1
7	0.905289011506628	0.0304953177437675	cds	group1
8	0.925947109884934	0.0304776728975795	cds	group1
9	0.941491151335711	0.0306217303016254	cds	group1
10	0.963091312832245	0.0307455685744652	cds	group1
11	1.02069174348967	0.0337790247337102	cds	group1
12	1.0259067357513	0.0348722156901929	cds	group1
13	1.03902832918377	0.0345150328356783	cds	group1
14	1.03976852163381	0.0334445309445516	cds	group1
15	1.03966758629971	0.0328216683836013	cds	group1
16	1.05803781710517	0.03344727068101	cds	group1
17	1.07536504945831	0.0344320265899763	cds	group1
18	1.10944754727138	0.0353666640909417	cds	group1
19	1.11008680438732	0.0348056978113046	cds	group1
20	1.0699481865285	0.0321719815368125	cds	group1
21	1.06974631586031	0.0317935169005915	cds	group1
22	1.0724715698809	0.0318335744745444	cds	group1
23	1.07677814413566	0.0320837387561499	cds	group1
24	1.07250521499226	0.0315853310282136	cds	group1
25	1.09656146961846	0.0327328153626383	cds	group1
26	1.10433349034385	0.0335504508802722	cds	group1
27	1.08189220106319	0.0318590752852823	cds	group1
28	1.08064733194267	0.0319880991594878	cds	group1
29	1.08804925644304	0.0311533641856895	cds	group1
30	1.08727541888164	0.0308338652116712	cds	group1
31	1.11291299374201	0.0311205795016056	cds	group1
32	1.13929076105242	0.0322014855509385	cds	group1
33	1.1573581858556	0.0323859706696483	cds	group1
34	1.14679362088689	0.0323044506396527	cds	group1
35	1.11933921001279	0.0321101008981976	cds	group1
36	1.08037817105175	0.0308077022277959	cds	group1
