bins	meanCoverage	standardError	feature	Sample
99	0.86796435272045	0.0292147285311217	cds	group1
100	0.924316537121415	0.0319695346334207	cds	group1
1	0.9937035300422	0.0309679568301884	threeUTRs	group1
2	1.02408064840244	0.0317163458036433	threeUTRs	group1
3	1.02109987273093	0.0307670642780487	threeUTRs	group1
4	1.0106504119499	0.0297538396076123	threeUTRs	group1
5	0.974613168999933	0.0281925189480174	threeUTRs	group1
6	0.94286288431911	0.0265950612261399	threeUTRs	group1
7	0.920557304574988	0.0258801207692283	threeUTRs	group1
8	0.880467546386228	0.0248081514582523	threeUTRs	group1
9	0.861779087681693	0.0242349687462414	threeUTRs	group1
10	0.837162569495613	0.0238815834443643	threeUTRs	group1
11	0.798713912519258	0.0226319643533644	threeUTRs	group1
12	0.774733739701253	0.0221520628192235	threeUTRs	group1
13	0.744155670172148	0.0212473088386064	threeUTRs	group1
14	0.713276173889745	0.020894127818876	threeUTRs	group1
15	0.688492196396276	0.0204965324236065	threeUTRs	group1
16	0.659186817603322	0.019760752986542	threeUTRs	group1
17	0.638220912318307	0.0192186413395401	threeUTRs	group1
18	0.61856118963092	0.0189210190637156	threeUTRs	group1
19	0.600073682095251	0.0178319230104725	threeUTRs	group1
20	0.587413758456695	0.0175723332997625	threeUTRs	group1
21	0.593911179583361	0.0179777631122349	threeUTRs	group1
22	0.57602652555429	0.0173900810330175	threeUTRs	group1
23	0.565677540357693	0.0170153275691001	threeUTRs	group1
24	0.547859870051577	0.0168260045996033	threeUTRs	group1
25	0.528133163641235	0.0162931897574936	threeUTRs	group1
26	0.511052314287628	0.0156292615035493	threeUTRs	group1
27	0.502176970996048	0.0157510684933157	threeUTRs	group1
28	0.490287360171478	0.0155044842335228	threeUTRs	group1
29	0.485364056534262	0.0154606660620102	threeUTRs	group1
30	0.482651215754572	0.015662265453252	threeUTRs	group1
31	0.473675396878559	0.0151364188144072	threeUTRs	group1
32	0.463225936097528	0.0146096895471914	threeUTRs	group1
33	0.460747538348181	0.0144715364465851	threeUTRs	group1
34	0.459407863889075	0.0147480527503982	threeUTRs	group1
35	0.445408265791413	0.0142387122363479	threeUTRs	group1
36	0.434221984057874	0.0138579045783196	threeUTRs	group1
37	0.425480608212204	0.0135414918517885	threeUTRs	group1
38	0.424777279121174	0.0138672198650249	threeUTRs	group1
39	0.428595351329627	0.0142849898935395	threeUTRs	group1
40	0.436231495746534	0.0149664697621637	threeUTRs	group1
41	0.433619130551276	0.0148867293168124	threeUTRs	group1
42	0.424911246567084	0.0142673061231883	threeUTRs	group1
43	0.415466541630384	0.0141377357538217	threeUTRs	group1
44	0.411949896175229	0.0143362050134801	threeUTRs	group1
45	0.40679214950767	0.0140970517773769	threeUTRs	group1
46	0.403409471498426	0.014072634808825	threeUTRs	group1
47	0.392993502578873	0.0137971957317255	threeUTRs	group1
48	0.376448523008909	0.0131105067431555	threeUTRs	group1
49	0.372396007770112	0.0128699978585663	threeUTRs	group1
