bases	meanCoverage	standardError	Sample	feature
-22	0.0640054127198917	0.00127333792807639	group1	Translation end site
-21	0.0641136671177267	0.00127434059204364	group1	Translation end site
-20	0.0641136671177267	0.00127434059204364	group1	Translation end site
-19	0.064979702300406	0.00128232477637396	group1	Translation end site
-18	0.0651420838971583	0.00128381452277512	group1	Translation end site
-17	0.0652232746955345	0.00128455853975651	group1	Translation end site
-16	0.0653044654939107	0.00128530198724705	group1	Translation end site
-15	0.0655480378890392	0.00128752892263493	group1	Translation end site
-14	0.0657104194857916	0.00128901071679882	group1	Translation end site
-13	0.0657374830852503	0.00128925746310101	group1	Translation end site
-12	0.0657374830852503	0.00128925746310101	group1	Translation end site
-11	0.0659539918809202	0.00129122918338467	group1	Translation end site
-10	0.0661434370771313	0.00129295116719217	group1	Translation end site
-9	0.0661975642760487	0.00129344260356126	group1	Translation end site
-8	0.0665223274695534	0.00129638602516114	group1	Translation end site
-7	0.0666576454668471	0.00129760983102943	group1	Translation end site
-6	0.0667117726657645	0.00129809892342736	group1	Translation end site
-5	0.0666847090663058	0.00129785440790433	group1	Translation end site
-4	0.0667388362652233	0.00129834337763318	group1	Translation end site
-3	0.0670094722598105	0.00130078455484577	group1	Translation end site
-2	0.0671177266576455	0.0013017593175362	group1	Translation end site
-1	0.0673071718538566	0.00130346281270004	group1	Translation end site
0	0.067361299052774	0.00130394898002458	group1	Translation end site
1	0.06765899864682	0.00130661858210735	group1	Translation end site
2	0.0679837618403248	0.00130952257944738	group1	Translation end site
3	0.0681732070365359	0.00131121260240193	group1	Translation end site
4	0.0680920162381597	0.00131048866448286	group1	Translation end site
5	0.0683085250338295	0.00131241797612093	group1	Translation end site
6	0.0686062246278755	0.00131506458281334	group1	Translation end site
7	0.0686062246278755	0.00131506458281334	group1	Translation end site
8	0.0687956698240866	0.00131674506894584	group1	Translation end site
9	0.0690392422192152	0.00131890146557228	group1	Translation end site
10	0.0693640054127199	0.00132176929891883	group1	Translation end site
11	0.0695263870094723	0.00132320007577196	group1	Translation end site
12	0.0697970230040595	0.00132558007570804	group1	Translation end site
13	0.0701217861975643	0.00132842847747371	group1	Translation end site
14	0.0703382949932341	0.00133032283169265	group1	Translation end site
15	0.0704736129905277	0.00133150495061241	group1	Translation end site
